,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,3160862677.72,2432631636.39,2718530816.36,3576139461.11,3805568989.89,3090611048.04
营业收入,3160862677.72,2432631636.39,2718530816.36,3576139461.11,3805568989.89,3090611048.04
二、营业总成本,2691048131.11,2255678699.02,2616047766.71,3477841875.40,3860935453.73,3153890106.90
营业成本,2334799134.71,1925569765.80,2262004323.97,3065409050.36,3378213267.78,2806718470.49
营业税金及附加,96698033.84,71697202.43,17066235.21,26731776.97,25529539.59,23182451.96
销售费用,0,3254654.27,8814029.22,18553616.31,17354380.79,16142042.42
管理费用,216668546.35,199306646.38,239607860.15,256118199.29,133611088.54,128028440.37
财务费用,24615075.55,21821338.18,36005606.58,66999331.09,101259894.00,85444810.83
研发费用,0,0,0,0,110166528.76,94373890.83
资产减值损失,18267340.66,34029091.96,52549711.58,44029901.38,94800754.27,0
公允价值变动收益,0,0,0,0,0,808085.48
投资收益,8731390.00,24566759.47,8345416.13,70562245.63,73957547.08,26336490.72
其中:对联营企业和合营企业的投资收益,8321133.93,7337411.61,1824318.48,42907348.43,13771973.95,12912479.17
汇兑收益,0,0,0,0,0,0
三、营业利润,478545936.61,201519696.84,110828465.78,178763576.51,41873715.70,-1072496066.50
加:营业外收入,3753134.42,16050905.53,11596785.63,5732494.73,4137066.18,1275156.15
减：营业外支出,1450535.45,684729.09,624030.57,773170.46,2541106.15,6441450.04
其中：非流动资产处置损失,393799.41,35840.15,72875.10,0,0,0
四、利润总额,480848535.58,216885873.28,121801220.84,183722900.78,43469675.73,-1077662360.39
减：所得税费用,83060181.71,17738339.33,14606304.79,7240451.68,-4820294.77,-33855881.86
五、净利润,397788353.87,199147533.95,107194916.05,176482449.10,48289970.50,-1043806478.53
归属于母公司所有者的净利润,397902340.24,199416871.12,105179083.38,151884716.00,42772165.25,-1045864847.90
少数股东损益,-113986.37,-269337.17,2015832.67,24597733.10,5517805.25,2058369.37
基本每股收益(元/股),0.700000,0.120000,0.060000,0.090000,0.020000,-0.580000
稀释每股收益(元/股),0.700000,0.120000,0.060000,0.090000,0.020000,-0.580000
七、其他综合收益,-131860.59,5169727.24,9020720.91,-14341311.45,8738359.52,2708910.76
八、综合收益总额,397656493.28,204317261.19,116215636.96,162141137.65,57028330.02,-1041097567.77
归属于母公司所有者的综合收益总额,397770479.65,204586598.36,114199804.29,137543404.55,51510628.42,-1043449527.37
归属于少数股东的综合收益总额,-113986.37,-269337.17,2015832.67,24597733.10,5517701.60,2351959.60
