,20141231,20151231,20161231,20171231,20181231,20191231
货币资金,177533202.58,200755516.13,153856412.48,344424606.77,441648539.44,443905616.02
交易性金融资产,0,0,0,0,0,0
衍生金融资产,0,0,0,0,0,0
应收票据及应收账款,0,0,791236391.64,1128101776.52,1547413629.88,1975637879.23
应收票据,500000.00,0,1200000.00,2431837.09,68481152.97,55864487.85
应收账款,387850834.74,579055564.26,790036391.64,1125669939.43,1478932476.91,1919773391.38
应收款项融资,0,0,0,0,0,0
预付款项,41865817.88,61546992.67,81670089.33,118400924.25,151772646.80,148177775.97
其他应收款(合计),0,0,15380179.95,19209375.76,31738290.00,22094620.02
应收利息,0,0,0,0,0,0
应收股利,0,0,0,0,0,0
其他应收款,3216909.24,14911699.88,15380179.95,19209375.76,31738290.00,22094620.02
买入返售金融资产,0,0,0,0,0,0
存货,191359567.82,266871039.61,359294312.67,548129095.90,731118303.00,851678775.76
划分为持有待售的资产,0,0,0,0,0,0
一年内到期的非流动资产,7632648.27,7609684.69,7760244.91,5829946.79,5848855.16,4263726.02
待摊费用,0,0,0,0,0,0
待处理流动资产损益,0,0,0,0,0,0
其他流动资产,0,649104205.19,339670450.92,154308803.31,51802199.78,60554539.75
流动资产合计,809958980.53,1779854702.43,1748868081.90,2318404529.30,2961342464.06,3506312932.77
发放贷款及垫款,0,0,0,0,0,0
可供出售金融资产,0,0,30000000.00,30000000.00,30000000.00,0
持有至到期投资,0,0,0,0,0,0
长期应收款,9653444.66,10108271.77,14163043.87,10438123.55,6023043.39,486662.44
长期股权投资,8121593.24,25844499.62,0,0,0,941342.35
投资性房地产,0,0,0,0,0,0
在建工程(合计),0,0,453780514.95,196455371.38,186813481.87,15662158.22
在建工程,112027341.20,234098473.77,453780514.95,196455371.38,186813481.87,15662158.22
工程物资,0,0,0,0,0,0
固定资产及清理(合计),0,0,331834189.95,850841300.43,1116623920.48,1581284421.16
固定资产净额,251552241.34,282500105.47,331834189.95,850841300.43,1116623920.48,1581284421.16
固定资产清理,0,0,0,0,0,0
生产性生物资产,0,0,0,0,0,0
公益性生物资产,0,0,0,0,0,0
油气资产,0,0,0,0,0,0
使用权资产,0,0,0,0,0,0
无形资产,13784241.87,18315113.05,68495028.04,80606128.01,73765996.09,105497624.62
开发支出,0,3907247.68,17237712.46,20729864.83,74715061.50,105217637.14
商誉,0,0,4422883.47,21317610.03,21317610.03,21317610.03
长期待摊费用,1060417.09,2204096.11,5482329.62,8878093.10,9136688.52,8414355.16
递延所得税资产,10158758.29,15348490.84,24045528.27,32625306.32,39052055.48,104707685.62
其他非流动资产,0,0,0,12880824.38,37690774.71,7001443.16
非流动资产合计,406358037.69,592326298.31,949461230.63,1264772622.03,1595138632.07,1990530939.90
资产总计,1216317018.22,2372181000.74,2698329312.53,3583177151.33,4556481096.13,5496843872.67
短期借款,163672004.29,66241098.47,129743947.86,549532812.23,943752266.72,1185255160.41
交易性金融负债,0,0,0,0,0,0
应付票据及应付账款,0,0,81334051.66,117430086.47,199377153.05,261596234.97
应付票据,0,0,0,0,0,0
应付账款,35401537.71,65406242.96,81334051.66,117430086.47,199377153.05,261596234.97
预收款项,11631499.85,4705539.76,21207670.96,18443628.44,36171011.35,36805510.00
应付手续费及佣金,0,0,0,0,0,0
应付职工薪酬,31039525.92,38674223.23,49343955.17,67109200.04,63126708.11,78706573.76
应交税费,30231474.32,28595404.90,20141040.01,46248281.47,50848987.08,46209692.25
其他应付款(合计),0,0,7894866.10,22599866.54,83462104.87,85852988.58
应付利息,0,0,0,0,0,0
应付股利,0,0,0,0,0,0
其他应付款,14399090.65,23126900.80,7894866.10,22599866.54,83462104.87,85852988.58
预提费用,0,0,0,0,0,0
一年内的递延收益,0,0,0,0,0,0
应付短期债券,0,0,0,0,0,0
一年内到期的非流动负债,0,63000000.00,69000000.00,0,0,120000000.00
其他流动负债,0,0,12537681.11,9259169.05,7807298.14,4990483.18
