,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20171231,20161231,20150331,20141231,20140930,20140630,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20101231,20091231,20081231,20071231,19700101,
销售商品、提供劳务收到的现金,630130042.09,0,0,897657848.26,641378081.50,404884385.09,0,802607749.77,712686262.68,565568149.37,125830482.92,718678874.74,577089364.27,376878015.25,192508746.31,673818568.90,485134071.36,281097754.12,139016958.23,638124859.44,456959590.10,284409077.75,119538557.63,666093499.58,468514600.00,523558821.85,684131481.68,817153110.32,225741720.82,0,
收到的税费返还,2167683.48,0,0,3729707.74,2504147.25,2206761.09,0,922253.47,714847.74,1047715.72,0,1446334.52,2282367.02,0,0,1201399.09,1201399.90,0,0,1616818.62,0,0,0,817149.72,0,2712365.82,3074781.16,1320370.80,0,0,
收到的其他与经营活动有关的现金,2527170.70,0,0,4130624.59,3139004.05,9812416.73,0,4546967.36,50375509.32,1992898.58,7432873.53,3132381.78,1067200.00,898379.54,2374118.76,15300875.33,2110249.14,1369466.25,1052369.32,3787580.17,3083858.60,2383858.60,1819048.20,1893024.15,18403700.00,1328466.91,4459907.57,21275714.93,0,0,
经营活动现金流入小计,634824896.27,0,0,905518180.59,647021232.80,416903562.91,0,808076970.60,763776619.74,568608763.67,133263356.45,723257591.04,580438931.29,377776394.79,194882865.07,690320843.32,488445720.40,282467220.37,140069327.55,643529258.23,460043448.70,286792936.35,121357605.83,668803673.45,486918200.00,527599654.58,691666170.41,839749196.05,225741720.82,0,
购买商品、接受劳务支付的现金,657183864.89,0,0,633398772.67,477823877.29,324633830.02,0,604676122.33,590998903.05,470904235.72,86145181.86,601847739.01,488886927.73,313049690.14,166510308.07,585783322.51,419480199.66,271098399.56,128907984.35,536619567.58,404639813.09,245311607.15,93422499.42,616269694.57,414482800.00,474007175.34,546555829.24,746903256.72,190410893.91,0,
支付给职工以及为职工支付的现金,40946120.24,0,0,48817591.35,36401011.58,24169146.31,0,53740071.69,43349348.78,39719203.77,8806736.64,31291139.76,23158140.63,15835447.38,9964561.94,27880842.76,22961819.13,15169137.13,2497125.21,25920724.96,19575747.39,15421602.17,9250561.60,15927931.87,10934600.00,14420300.24,15268050.37,11186161.78,7981282.26,0,
支付的各项税费,26035989.16,0,0,41386022.60,28491848.50,19465515.84,0,37054068.92,34335741.69,31228526.03,7051917.25,31023383.68,22857525.54,13261003.28,5814520.27,19426715.35,10578404.41,4566797.20,1895623.14,21659521.61,13022721.56,9570909.45,4063373.87,20293536.01,13856500.00,15902716.36,17726336.50,16873460.26,8325259.76,0,
支付的其他与经营活动有关的现金,56128695.75,0,0,82882610.12,59566454.94,15645906.53,0,47147350.59,37548536.07,53227816.25,38551653.43,34547233.51,20344341.04,12753280.17,6123729.05,48669025.19,23934867.59,15217442.51,4627813.19,32053914.63,19276167.79,16245919.72,8220853.59,32297596.03,21270600.00,22903959.27,43569688.96,14198061.40,9563887.03,0,
经营活动现金流出小计,780294670.04,0,0,806484996.74,602283192.31,383914398.70,0,742617613.53,706232529.59,595079781.77,140555489.18,698709495.96,555246934.94,354899420.97,188413119.33,681759905.81,476955290.79,306051776.40,137928545.89,616253728.78,456514449.83,286550038.49,114957288.48,684788758.48,460544400.00,527234151.21,623119905.07,789160940.16,216281322.96,0,
经营活动产生的现金流量净额,-145469773.77,-89150900.00,-33224900.00,99033183.85,44738040.49,12765500.00,11986000.00,65459357.07,57544090.15,-26471018.10,-7292132.73,24548095.08,25191996.35,22876973.82,6469745.74,8560937.51,11490429.61,-23584556.03,2140781.66,27275529.45,3528998.87,242897.86,6400317.35,-15985085.03,26373900.00,365503.37,68546265.34,50588255.89,9460397.86,0,
收回投资所收到的现金,0,0,0,0,0,0,0,0,400000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
取得投资收益所收到的现金,0,0,0,0,0,0,0,0,593.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
