,20200930,20191231,19700101,
货币资金,1145694830.12,716629911.89,0,
交易性金融资产,0,0,0,
衍生金融资产,0,0,0,
应收票据及应收账款,2639356890.46,2408880481.99,0,
应收票据,1079726613.83,1063726078.84,0,
应收账款,1559630276.63,1345154403.15,0,
应收款项融资,0,0,0,
预付款项,74521848.71,69943291.35,0,
其他应收款(合计),12898844.56,4655823.97,0,
应收利息,0,0,0,
应收股利,0,0,0,
其他应收款,0,0,0,
买入返售金融资产,0,0,0,
存货,554637042.69,791729783.81,0,
划分为持有待售的资产,0,82089.59,0,
一年内到期的非流动资产,0,0,0,
待摊费用,0,0,0,
待处理流动资产损益,0,0,0,
其他流动资产,53301199.55,67419644.95,0,
流动资产合计,4480410656.09,4059341027.55,0,
发放贷款及垫款,0,0,0,
可供出售金融资产,0,0,0,
持有至到期投资,0,0,0,
长期应收款,0,0,0,
长期股权投资,0,0,0,
投资性房地产,2759273.33,2886614.96,0,
在建工程(合计),35615913.63,35876288.43,0,
在建工程,0,0,0,
工程物资,0,0,0,
固定资产及清理(合计),1460511023.83,1543217387.49,0,
固定资产净额,0,0,0,
固定资产清理,0,0,0,
生产性生物资产,0,0,0,
公益性生物资产,0,0,0,
油气资产,0,0,0,
使用权资产,0,0,0,
无形资产,139222683.87,142649718.62,0,
开发支出,0,0,0,
商誉,185289590.07,185289590.07,0,
长期待摊费用,3328596.45,3106955.71,0,
递延所得税资产,5884337.00,5346479.59,0,
其他非流动资产,10393393.63,10393393.63,0,
非流动资产合计,1843004811.81,1928766428.50,0,
资产总计,6323415467.90,5988107456.05,0,
短期借款,1082091573.88,705041311.13,0,
交易性金融负债,0,0,0,
应付票据及应付账款,2250278778.95,2203666695.06,0,
应付票据,1293897233.99,1262389732.53,0,
应付账款,956381544.96,941276962.53,0,
预收款项,0,55594140.85,0,
应付手续费及佣金,0,0,0,
应付职工薪酬,34019382.45,44746771.69,0,
应交税费,45585581.17,40737694.34,0,
其他应付款(合计),427928294.67,516921018.19,0,
应付利息,0,0,0,
应付股利,0,0,0,
其他应付款,0,0,0,
预提费用,0,0,0,
一年内的递延收益,0,0,0,
应付短期债券,0,0,0,
一年内到期的非流动负债,31820000.00,42445000.00,0,
其他流动负债,135782518.07,218553593.42,0,
流动负债合计,4059319628.08,3827706224.68,0,
长期借款,183637393.25,199547393.25,0,
应付债券,0,0,0,
租赁负债,0,0,0,
长期应付职工薪酬,0,0,0,
长期应付款(合计),0,0,0,
长期应付款,0,0,0,
专项应付款,0,0,0,
预计非流动负债,0,0,0,
递延所得税负债,0,0,0,
长期递延收益,165821902.97,185251643.10,0,
其他非流动负债,0,0,0,
非流动负债合计,349459296.22,384799036.35,0,
负债合计,4408778924.30,4212505261.03,0,
实收资本(或股本),300000000.00,300000000.00,0,
资本公积,77240760.82,77240760.82,0,
减：库存股,0,0,0,
其他综合收益,328809.81,105373.51,0,
专项储备,0,0,0,
盈余公积,482675.50,482675.50,0,
一般风险准备,0,0,0,
未分配利润,577291736.33,499120683.51,0,
归属于母公司股东权益合计,955343982.46,876949493.34,0,
少数股东权益,959292561.14,898652701.68,0,
所有者权益(或股东权益)合计,1914636543.60,1775602195.02,0,
负债和所有者权益(或股东权益)总计,6323415467.90,5988107456.05,0,
