,20200930,19700101,
销售商品、提供劳务收到的现金,3356412068.99,0,
收到的税费返还,79113269.39,0,
收到的其他与经营活动有关的现金,30323343.53,0,
经营活动现金流入小计,3465848681.91,0,
购买商品、接受劳务支付的现金,2758834510.28,0,
支付给职工以及为职工支付的现金,383510023.70,0,
支付的各项税费,120263159.99,0,
支付的其他与经营活动有关的现金,167628981.58,0,
经营活动现金流出小计,3430236675.55,0,
经营活动产生的现金流量净额,35612006.36,0,
收回投资所收到的现金,0,0,
取得投资收益所收到的现金,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额,5491885.14,0,
处置子公司及其他营业单位收到的现金净额,0,0,
收到的其他与投资活动有关的现金,0,0,
投资活动现金流入小计,5491885.14,0,
购建固定资产、无形资产和其他长期资产所支付的现金,73899423.64,0,
投资所支付的现金,0,0,
取得子公司及其他营业单位支付的现金净额,0,0,
支付的其他与投资活动有关的现金,0,0,
投资活动现金流出小计,73899423.64,0,
投资活动产生的现金流量净额,-68407538.50,0,
吸收投资收到的现金,0,0,
其中：子公司吸收少数股东投资收到的现金,0,0,
取得借款收到的现金,1460914532.22,0,
发行债券收到的现金,0,0,
收到其他与筹资活动有关的现金,0,0,
筹资活动现金流入小计,1460914532.22,0,
偿还债务支付的现金,1100317666.83,0,
分配股利、利润或偿付利息所支付的现金,49541746.30,0,
其中：子公司支付给少数股东的股利、利润,0,0,
支付其他与筹资活动有关的现金,40000000.00,0,
筹资活动现金流出小计,1189859413.13,0,
筹资活动产生的现金流量净额,271055119.09,0,
四、汇率变动对现金及现金等价物的影响,-1949317.81,0,
五、现金及现金等价物净增加额,236310269.14,0,
加:期初现金及现金等价物余额,560263626.29,0,
六、期末现金及现金等价物余额,796573895.43,0,
净利润,0,0,
少数股东权益,0,0,
未确认的投资损失,0,0,
资产减值准备,0,0,
固定资产折旧、油气资产折耗、生产性物资折旧,0,0,
无形资产摊销,0,0,
长期待摊费用摊销,0,0,
待摊费用的减少,0,0,
预提费用的增加,0,0,
处置固定资产、无形资产和其他长期资产的损失,0,0,
固定资产报废损失,0,0,
公允价值变动损失,0,0,
递延收益增加（减：减少）,0,0,
预计负债,0,0,
财务费用,0,0,
投资损失,0,0,
递延所得税资产减少,0,0,
递延所得税负债增加,0,0,
存货的减少,0,0,
经营性应收项目的减少,0,0,
经营性应付项目的增加,0,0,
已完工尚未结算款的减少(减:增加),0,0,
已结算尚未完工款的增加(减:减少),0,0,
其他,0,0,
经营活动产生现金流量净额,0,0,
债务转为资本,0,0,
一年内到期的可转换公司债券,0,0,
融资租入固定资产,0,0,
现金的期末余额,0,0,
现金的期初余额,0,0,
现金等价物的期末余额,0,0,
现金等价物的期初余额,0,0,
现金及现金等价物的净增加额,0,0,
