,20200930,19700101,
一、营业总收入,3601263469.37,0,
营业收入,3601263469.37,0,
二、营业总成本,3452982201.08,0,
营业成本,2896796774.82,0,
营业税金及附加,26202148.42,0,
销售费用,160607015.45,0,
管理费用,139155227.28,0,
财务费用,60443532.69,0,
研发费用,169777502.42,0,
资产减值损失,0,0,
公允价值变动收益,0,0,
投资收益,-4993814.31,0,
其中:对联营企业和合营企业的投资收益,0,0,
汇兑收益,0,0,
三、营业利润,172166148.66,0,
加:营业外收入,7557004.89,0,
减：营业外支出,24098830.26,0,
其中：非流动资产处置损失,0,0,
四、利润总额,155624323.29,0,
减：所得税费用,17036490.11,0,
五、净利润,138587833.18,0,
归属于母公司所有者的净利润,78171052.82,0,
少数股东损益,60416780.36,0,
基本每股收益(元/股),0.260600,0,
稀释每股收益(元/股),0.260600,0,
七、其他综合收益,446515.40,0,
八、综合收益总额,139034348.58,0,
归属于母公司所有者的综合收益总额,78394489.12,0,
归属于少数股东的综合收益总额,60639859.46,0,
