,20200930,20200630,20191231,20190930,20190630,20181231,20171231,20161231,20140331,20131231,20130930,20130630,20130331,20121231,20120930,20111231,20110930,20101231,20091231,20081231,19700101,
一、营业总收入,1343201249.14,803571128.54,1553541818.64,1167817012.92,735066853.57,1397676052.30,1239378286.07,1085962042.15,173433741.75,690927052.74,523135839.12,308798295.52,116354191.64,658648718.40,481137578.41,453744083.49,343497100.16,331982665.86,275392096.62,223127643.76,0,
营业收入,1343201249.14,803571128.54,1553541818.64,1167817012.92,735066853.57,1397676052.30,1239378286.07,1085962042.15,173433741.75,691137511.92,523356684.81,308987660.46,116338814.26,660134704.45,481860082.11,454996548.91,344289259.16,331739542.35,275395426.04,222455156.11,0,
二、营业总成本,1018165309.50,618703165.77,1236492647.08,927502112.55,606093504.71,1169799075.49,1020738078.61,842411184.44,158690564.56,640508900.62,484428327.84,297004826.17,115979630.47,604078147.72,437438797.67,393451005.98,301459900.48,277486302.35,229887600.87,185210603.59,0,
营业成本,836448029.87,514595277.51,975949324.99,746747226.33,477024049.27,926082462.98,798179155.48,672744017.46,127858363.92,504342455.87,379975188.72,230384605.33,87378044.42,511921905.49,379512397.68,334881495.12,253733132.54,237192979.27,193787876.05,162999700.06,0,
营业税金及附加,11206413.68,7212998.90,13736309.94,9026110.30,5743635.57,11828643.71,12940431.55,11179466.03,957380.58,2932142.74,2232038.28,738489.84,40618.26,1516077.84,1102494.94,1513503.08,1075886.94,657431.54,725171.19,217161.06,0,
销售费用,55220037.88,35611742.19,123366122.50,89751067.28,60020329.85,111068244.14,102549961.91,89977982.71,13842709.98,53991047.82,40947526.79,26071138.34,12477698.61,40290328.92,28425249.23,34109318.45,28023342.18,23966564.99,21639195.98,11949397.95,0,
管理费用,55912400.24,33410430.57,69661367.00,49084508.98,32384648.13,76692883.00,51448061.22,47602529.57,13649534.05,61408954.44,48229357.28,30811965.56,13007922.20,44605352.02,25793001.19,20264429.16,17127266.46,14896161.73,13146685.89,6808806.24,0,
财务费用,16458414.20,-1234642.77,-2162782.96,-8926157.30,4093078.66,-3705365.79,11649035.37,-11999014.34,2382576.03,17834299.75,13044216.77,8998627.10,3075346.98,5744483.45,2605654.63,2682260.17,1500272.36,773164.82,588671.76,3235538.28,0,
研发费用,42920013.63,29107359.37,55942305.61,41819356.96,26827763.23,47832207.45,43971433.08,32906203.01,0,0,0,0,0,0,0,0,0,0,0,0,0,
资产减值损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
公允价值变动收益,0,0,7493759.75,7493759.75,7493759.75,-7493759.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
投资收益,448705.27,313183.33,-5238038.20,-5238038.20,-5238038.10,-7843273.91,948273.79,1748629.53,1484400.00,1237000.00,0,0,0,1237000.00,1237000.00,214262.27,0,0,0,0,0,
其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三、营业利润,329161916.95,186068260.54,330844810.50,248062070.68,131770451.50,217321887.94,226131174.43,241233489.55,16227577.19,51655152.12,38707511.28,11793469.35,374561.17,55807570.68,44935780.74,60507339.78,42037199.68,56338863.51,46852788.75,38724240.17,0,
加:营业外收入,11818005.91,11815069.27,387871.73,375963.84,11338.69,64969991.63,51255640.07,31173178.49,362000.00,16005952.30,13462252.30,13462252.30,13462252.30,3087631.17,2088914.28,23916682.75,19795892.67,2247563.67,1220580.60,903432.46,0,
减：营业外支出,1597497.98,1501441.96,225688.35,67593.75,67493.49,338455.83,91148.85,4211723.23,155947.56,1331026.15,167536.40,152839.00,20200.00,1399043.55,392556.75,490693.14,221617.18,751971.71,4663580.40,462232.26,0,
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四、利润总额,339382424.88,196381887.85,331006993.88,248370440.77,131714296.70,281953423.74,277295665.65,268194944.81,16433629.63,66330078.27,52002227.18,25102882.65,13816613.47,57496158.30,46632138.27,83933329.39,61611475.17,57834455.47,43409788.95,39165440.37,0,
减：所得税费用,25515792.68,16197576.64,46403188.23,36860400.15,19855115.57,37204736.83,37310325.47,39945993.88,2771490.50,10191818.21,7914231.97,3870365.99,2115191.76,7365041.21,11696878.15,12646198.99,9107958.92,8726283.27,7308298.41,9950292.26,0,
五、净利润,313866632.20,180184311.21,284603805.65,211510040.62,111859181.13,244748686.91,239985340.18,228248950.93,13662139.13,56138260.06,44087995.21,21232516.66,11701421.71,50131117.09,34935260.12,71287130.40,52503516.25,49108172.20,36101490.54,29215148.11,0,
