,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20180630,20180331,20171231,20161231,19700101,
一、营业总收入,553124123.90,293202512.75,123645610.61,757428576.53,526647274.95,323289531.66,147467300.00,474920158.09,329318656.90,220387671.63,107455142.95,272006994.40,122938572.94,0,
营业收入,553124123.90,293202512.75,123645610.61,757428576.53,526647274.95,323289531.66,147467300.00,474920158.09,329318656.90,220387671.63,107455142.95,272006994.40,122938572.94,0,
二、营业总成本,496738501.87,281092766.88,121038797.89,608461558.61,425867569.46,249746012.20,0,374545587.13,256504998.52,167326607.28,77825401.28,237117986.10,122450851.00,0,
营业成本,323547561.93,169165172.61,68199235.95,401242675.29,278779912.08,169473372.46,0,234319283.14,158936088.99,104716512.05,53292375.42,133796740.65,59683912.28,0,
营业税金及附加,598933.84,202166.43,104086.66,1763970.69,831768.96,721604.81,0,2131351.35,1196101.01,737974.86,642154.06,1352064.75,293898.63,0,
销售费用,20112451.26,11768790.15,5297604.65,27131940.11,20005091.96,11410442.85,0,18320852.50,11244786.70,8178250.30,3511491.61,11623155.00,6585291.90,0,
管理费用,33989197.44,23248954.35,11478992.57,54771686.95,42745534.71,21750737.75,0,42301149.35,30659827.93,18936669.41,6743424.55,40226238.27,24956832.98,0,
财务费用,-365587.84,1386283.42,2215955.73,3802596.25,5498099.24,1880951.80,0,827464.44,915200.99,605581.66,-236141.96,152952.19,503886.49,0,
研发费用,118855945.24,75321399.92,33742922.33,119748689.32,78007162.51,41733081.31,0,74900002.34,53552992.90,32426908.01,13865270.52,49383900.17,30291473.59,0,
资产减值损失,0,0,0,0,0,2775821.22,0,1745484.01,0,1724710.99,6827.08,582935.07,135555.13,0,
公允价值变动收益,2165457.53,3465668.49,5107894.03,6016199.18,5794174.14,0,0,0,0,0,0,0,0,0,
投资收益,22562807.56,14883207.92,5119602.15,13037284.42,2024253.58,788229.08,0,1018780.02,860363.35,629643.32,443111.10,458347.22,0,0,
其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
三、营业利润,88143148.20,37573340.49,11292459.84,168893360.68,112180729.32,75877129.08,32985600.00,104916216.44,72921707.02,53802175.80,30072852.77,35727603.19,487721.94,0,
加:营业外收入,27500.00,21000.00,0,3540000.00,704251.80,103500.00,0,1696286.43,81740.43,51289.63,55323.54,98286.22,675121.27,0,
减：营业外支出,21199.65,8607.49,14.31,369300.11,76.11,74.95,0,18637.32,320.38,191.43,3.68,125887.09,2747.92,0,
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
四、利润总额,88149448.55,37585733.00,11292445.53,172064060.57,112884905.01,75980554.13,33011600.00,106593865.55,73003127.07,53853274.00,30128172.63,35700002.32,1160095.29,0,
减：所得税费用,7326395.40,2845586.70,1899958.93,13558710.19,17320088.16,12336468.32,0,12711248.04,8974963.05,9100476.17,4731373.25,6328092.02,710757.74,0,
五、净利润,80823053.15,34740146.30,9392486.60,158505350.38,95564816.85,63644085.81,28343700.00,93882617.51,64028164.02,44752797.83,25396799.38,29371910.30,449337.55,0,
归属于母公司所有者的净利润,80823053.15,34740146.30,9392486.60,158505350.38,95564816.85,63644085.81,28343700.00,93882617.51,64028164.02,44752797.83,25396799.38,29371910.30,449337.55,0,
少数股东损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
基本每股收益(元/股),1.010300,0.434300,0.117400,2.319600,1.482900,1.060700,0,1.564700,0,0.745900,0.423300,2.155800,0.034300,0,
稀释每股收益(元/股),1.010300,0.434300,0.117400,2.319600,1.482900,1.060700,0,1.564700,0,0.745900,0.423300,2.155800,0.034300,0,
七、其他综合收益,-8711966.55,4492454.93,4741104.12,6007445.76,8785185.42,932021.48,0,7584218.73,8748529.41,3040995.98,-3369964.40,-4681409.55,4695803.20,0,
八、综合收益总额,72111086.60,39232601.23,14133590.72,164512796.14,104350002.27,64576107.29,0,101466836.24,72776693.43,47793793.81,22026834.98,24690500.75,5145140.75,0,
归属于母公司所有者的综合收益总额,72111086.60,39232601.23,14133590.72,164512796.14,104350002.27,64576107.29,0,101466836.24,72776693.43,47793793.81,22026834.98,24690500.75,5145140.75,0,
归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
