,20200930,20200630,20191231,20181231,20171231,19700101,
货币资金,0,161524508.23,150958764.57,55169304.45,65907719.84,0,
交易性金融资产,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,
应收票据及应收账款,0,329860256.18,332220646.83,278142502.00,211700617.47,0,
应收票据,0,21123065.94,30127067.14,35831089.35,21506167.71,0,
应收账款,0,308737190.24,302093579.69,242311412.65,190194449.76,0,
应收款项融资,0,8231019.02,14371210.24,0,0,0,
预付款项,0,3664343.86,2309412.63,43745861.06,2880405.48,0,
其他应收款(合计),0,9137182.88,9027199.35,6846264.12,2197124.59,0,
应收利息,0,0,0,0,0,0,
应收股利,0,0,0,0,0,0,
其他应收款,0,0,0,0,0,0,
买入返售金融资产,0,0,0,0,0,0,
存货,0,148196292.68,138244166.57,85255005.75,90685822.15,0,
划分为持有待售的资产,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,
其他流动资产,0,6534629.68,1171995.25,61607.73,936134.49,0,
流动资产合计,0,667148232.53,648303395.44,469220545.11,374307824.02,0,
发放贷款及垫款,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,
长期股权投资,0,0,0,0,0,0,
投资性房地产,0,0,0,0,0,0,
在建工程(合计),0,173000817.14,146845817.81,21488019.70,1839300.72,0,
在建工程,0,0,0,0,0,0,
工程物资,0,0,0,0,0,0,
固定资产及清理(合计),0,307629087.06,299247736.58,261295770.75,269245209.19,0,
固定资产净额,0,307629087.06,299247736.58,261295770.75,269245209.19,0,
固定资产清理,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,
无形资产,0,35070383.78,34171503.00,35051667.14,27437728.02,0,
开发支出,0,0,0,0,0,0,
商誉,0,0,0,0,0,0,
长期待摊费用,0,16789016.10,18929417.38,21803787.01,27747490.71,0,
递延所得税资产,0,4369875.35,4319881.60,3477857.84,2736007.40,0,
其他非流动资产,0,56426963.16,28194171.88,41990586.32,39890380.17,0,
非流动资产合计,0,593286142.59,531708528.25,385107688.76,368896116.21,0,
资产总计,1314335200.00,1260434375.12,1180011923.69,854328233.87,743203940.23,0,
短期借款,0,216655922.80,176200000.00,60000000.00,90000000.00,0,
交易性金融负债,0,0,0,0,0,0,
应付票据及应付账款,0,116105376.40,132920892.55,143377136.88,150292522.79,0,
应付票据,0,0,0,8000000.00,0,0,
应付账款,0,116105376.40,132920892.55,135377136.88,150292522.79,0,
预收款项,0,0,10886403.44,7373799.45,5646952.63,0,
应付手续费及佣金,0,0,0,0,0,0,
应付职工薪酬,0,10944332.65,22796215.11,14796507.09,11285631.85,0,
应交税费,0,5493452.04,13815049.69,27354302.54,15175245.19,0,
其他应付款(合计),0,16460521.84,16254689.21,6389352.13,240489377.52,0,
应付利息,0,0,0,0,0,0,
应付股利,0,0,0,0,0,0,
其他应付款,0,0,0,0,0,0,
预提费用,0,0,0,0,0,0,
一年内的递延收益,0,0,0,0,0,0,
应付短期债券,0,0,0,0,0,0,
一年内到期的非流动负债,0,51815577.04,51815577.04,35430377.04,3861000.04,0,
其他流动负债,0,7909807.77,15704942.45,5896585.78,2875341.00,0,
流动负债合计,0,429043929.39,440393769.49,300618060.91,519626071.02,0,
长期借款,0,27858390.12,8619666.52,9980666.56,11341666.60,0,
应付债券,0,0,0,0,0,0,
租赁负债,0,0,0,0,0,0,
长期应付职工薪酬,0,0,0,0,0,0,
长期应付款(合计),0,12625888.68,34655876.05,49269825.75,0,0,
长期应付款,0,0,0,0,0,0,
专项应付款,0,0,0,0,0,0,
预计非流动负债,0,0,0,0,0,0,
递延所得税负债,0,0,0,0,0,0,
长期递延收益,0,0,0,0,0,0,
其他非流动负债,0,16792.20,0,0,0,0,
非流动负债合计,0,40501071.00,43275542.57,59250492.31,11341666.60,0,
负债合计,0,469545000.39,483669312.06,359868553.22,530967737.62,0,
实收资本(或股本),0,149025350.00,149025350.00,149025350.00,61000000.00,0,
资本公积,0,321262716.24,321262716.24,100034441.36,0,0,
减：库存股,0,0,0,0,0,0,
其他综合收益,0,0,0,0,0,0,
专项储备,0,0,0,0,0,0,
盈余公积,0,3814810.32,3814810.32,14092657.44,6701670.89,0,
一般风险准备,0,0,0,0,0,0,
未分配利润,0,316786498.17,222239735.07,231307231.85,144534531.72,0,
归属于母公司股东权益合计,813825700.00,790889374.73,696342611.63,494459680.65,212236202.61,0,
少数股东权益,0,0,0,0,0,0,
所有者权益(或股东权益)合计,813825700.00,790889374.73,696342611.63,494459680.65,212236202.61,0,
负债和所有者权益(或股东权益)总计,813825700.00,1260434375.12,1180011923.69,854328233.87,743203940.23,0,
