,20200930,20200630,20200331,20191231,20190930,20190630,20190331,20181231,20180930,20171231,20161231,19700101,
一、营业总收入,302676475.59,198254152.28,65941294.71,313201966.93,198723922.39,140729195.47,65468480.63,247902330.26,175577765.22,270714483.95,152176912.70,0,
营业收入,302676475.59,198254152.28,65941294.71,313201966.93,198723922.39,140729195.47,65468480.63,247902330.26,175577765.22,270714483.95,152176912.70,0,
二、营业总成本,251501208.92,161842089.23,58212805.62,254768234.97,159164404.09,108137516.48,53338646.55,203267743.39,142617580.77,234120913.71,121953369.11,0,
营业成本,161066247.73,106318811.67,35494263.14,151976429.14,97731160.26,69494361.12,33722719.23,123095237.70,89822446.76,132185323.75,80833766.58,0,
营业税金及附加,2284387.41,1461408.14,492960.31,2494336.56,1723940.05,1384063.14,869579.75,2202005.33,1661323.79,2626133.20,1120836.31,0,
销售费用,19125430.67,11975059.73,4119047.44,24757416.51,12257472.30,7527796.89,3590406.40,15246880.32,9330718.46,15346730.54,6406189.31,0,
管理费用,21710109.04,14759688.62,6881496.49,26877773.25,15466633.86,10000816.22,4922513.87,22351158.04,14647507.43,28491795.67,13686548.43,0,
财务费用,-11193357.29,-8921040.24,-4589820.80,-2711173.25,-187454.55,-164398.24,-74817.78,-12613.63,18717.65,361598.73,-80971.13,0,
研发费用,58508391.36,36248161.31,15814859.04,51373452.76,32172652.17,19894877.35,10308245.08,39891675.70,27136866.68,51652317.09,17555633.63,0,
资产减值损失,0,0,0,0,0,0,0,493399.93,0,3457014.73,2431365.98,0,
公允价值变动收益,0,0,0,0,0,0,0,0,0,0,0,0,
投资收益,1285794.27,174606.61,105263.35,355002.04,162684.45,91603.67,42449.99,631036.55,267420.78,225942.61,142999.18,0,
其中:对联营企业和合营企业的投资收益,0,0,0,0,0,0,0,0,0,0,0,0,
汇兑收益,0,0,0,0,0,0,0,0,0,0,0,0,
三、营业利润,63839011.83,43595659.48,13049539.72,74675389.51,54751426.28,42302099.14,17432727.53,62644566.45,44705922.90,58763522.52,30366542.77,0,
加:营业外收入,8369.90,3835.17,3209.19,24229.46,203963.33,103445.45,22592.21,121211.10,1000916.52,32993.59,7597499.32,0,
减：营业外支出,36500.98,28884.67,0,48253.90,2553.91,153.91,0,8372.38,48486.09,330838.16,98836.38,0,
其中：非流动资产处置损失,0,0,0,0,0,0,0,0,0,0,0,0,
四、利润总额,63810880.75,43570609.98,13052748.91,74651365.07,54952835.70,42405390.68,17455319.74,62757405.17,45658353.33,58465677.95,37865205.71,0,
减：所得税费用,8987106.03,6673855.94,2161826.92,4963089.27,5928025.48,6823798.93,2923076.51,5638730.26,4488835.63,10670001.53,5593592.29,0,
五、净利润,54823774.72,36896754.04,10890921.99,69688275.80,49024810.22,35581591.75,14532243.23,57118674.91,41169517.70,47795676.42,32271613.42,0,
归属于母公司所有者的净利润,54823774.72,36896754.04,10890921.99,69688275.80,49024810.22,35581591.75,14532243.23,57118674.91,41169517.70,47795676.42,32318218.60,0,
少数股东损益,0,0,0,0,0,0,0,0,0,0,-46605.18,0,
基本每股收益(元/股),0.550000,0.370000,0.110000,0.880000,0.650000,0.470000,0.190000,0.770000,0.550000,0.700000,0,0,
稀释每股收益(元/股),0.550000,0.370000,0.110000,0.880000,0,0.470000,0.190000,0.770000,0,0.700000,0,0,
七、其他综合收益,0,0,0,0,0,0,0,0,0,0,0,0,
八、综合收益总额,54823774.72,36896754.04,10890921.99,69688275.80,49024810.22,35581591.75,14532243.23,57118674.91,41169517.70,47795676.42,32271613.42,0,
归属于母公司所有者的综合收益总额,54823774.72,36896754.04,10890921.99,69688275.80,49024810.22,35581591.75,14532243.23,57118674.91,41169517.70,47795676.42,32318218.60,0,
归属于少数股东的综合收益总额,0,0,0,0,0,0,0,0,0,0,-46605.18,0,
