,20200930,20200630,20200331,20191231,20190630,20181231,20171231,20161231,20130930,20130630,20130331,20121231,20120930,20120630,20120331,20111231,20110930,20110630,20110331,20101231,20100930,20091231,20081231,20071231,19700101,
货币资金,2342804589.01,821432951.86,0,890854551.62,1413676452.45,202048004.90,317577452.65,142668414.45,933339835.66,891867712.37,919804949.76,939237439.77,877208740.43,824463070.34,796964599.95,766389291.39,724690001.97,681889280.60,657094635.49,447992858.55,349330909.71,203421094.58,80348149.87,62910924.69,0,
交易性金融资产,559294590.72,468085961.19,0,250353499.99,199738888.89,0,21007000.00,213356903.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
衍生金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
应收票据及应收账款,172058456.38,244835766.81,0,310481967.62,474377991.93,563188150.40,482153335.30,195937263.57,125024553.27,120837632.94,88142487.68,94372762.42,111366640.79,94161781.88,84488353.53,0,0,0,0,0,0,0,0,0,0,
应收票据,7885183.52,9027290.45,0,22502936.98,10086592.29,28977655.03,23145366.00,4523086.56,35443458.64,29910964.55,21959853.39,21426372.74,21613612.07,16916357.09,10924605.11,9861409.49,4690971.07,2096047.20,300000.00,0,0,0,0,1200000.00,0,
应收账款,164173272.86,235808476.36,0,287979030.64,464291399.64,534210495.37,459007969.30,191414177.01,89581094.63,90926668.39,66182634.29,72946389.68,89753028.72,77245424.79,73563748.42,62022720.87,72160653.70,66140063.59,46609788.29,54939399.48,50149622.20,39049183.11,25209555.45,18734719.19,0,
应收款项融资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
预付款项,26054172.64,7846793.03,0,10059109.32,3111716.13,6400394.61,3928111.58,1441440.68,6044509.69,5227154.97,4795622.26,2881415.71,8970624.37,4391643.66,8042251.12,4665974.97,3892409.58,3783386.55,2263360.36,3747193.94,3440507.94,4136063.00,1257235.60,2585275.83,0,
其他应收款(合计),664537.94,567063.69,0,1097677.55,8131605.31,8150701.78,4651848.61,4180499.18,13596955.12,12063389.13,10034695.57,9409567.69,15609312.31,18281849.34,18261548.80,0,0,0,0,0,0,0,0,0,0,
应收利息,0,0,0,0,0,0,197166.67,0,2928194.96,2610927.70,2461749.75,2285528.27,2342273.48,5708041.20,4923454.14,3024280.22,3831563.70,1961757.29,1079754.05,743494.13,0,0,0,0,0,
应收股利,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他应收款,0,567063.69,0,1097677.55,8131605.31,8150701.78,4454681.94,4180499.18,10668760.16,9452461.43,7572945.82,7124039.42,13267038.83,12573808.14,13338094.66,12629454.31,13275459.78,14100419.76,13355955.52,6859882.94,2484679.46,1079580.15,26360689.15,27186835.28,0,
买入返售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
存货,192110452.11,173181758.54,0,168217862.92,140315262.23,127260725.31,108723372.69,115235772.75,80914706.97,76120601.42,69383530.06,64699481.91,56882895.33,46487656.55,43725375.58,39364631.50,30196815.11,32883242.15,34130963.27,34413009.29,41009437.35,36819292.30,33730203.01,30948321.17,0,
划分为持有待售的资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
一年内到期的非流动资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262260.69,0,0,0,0,
待处理流动资产损益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
其他流动资产,12058413.54,17457069.82,0,15584151.30,29980236.55,1242896504.11,817503187.68,588822351.94,0,0,0,0,0,0,0,0,0,0,962872.98,0,0,0,0,0,0,
流动资产合计,3305045212.34,1733407364.94,0,1646648820.32,2269332153.49,2149944481.11,1755544308.51,1261642646.52,1158920560.71,1106116490.83,1092161285.33,1110600667.50,1070038213.23,987786001.77,951482128.98,897957762.75,852737874.91,802854197.14,755797329.96,548695838.33,446677417.35,284505213.14,166905833.08,143566076.16,0,
发放贷款及垫款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
可供出售金融资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
持有至到期投资,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期应收款,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
长期股权投资,101601962.25,108443806.34,0,111193626.72,250000.00,250000.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000000.00,0,0,0,0,
投资性房地产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
在建工程(合计),376196199.01,329981636.00,0,274600578.86,258461832.99,227853161.92,621669663.98,702153012.11,236649680.66,206887983.44,178348282.00,147372695.08,241205408.05,232579461.15,224479855.02,0,0,0,0,0,0,0,0,0,0,
在建工程,0,313960055.91,0,0,0,0,0,0,236649680.66,206887983.44,178348282.00,147372695.08,241205408.05,232579461.15,224479855.02,196921666.77,139407363.59,169801579.30,144066997.04,127467274.05,120845033.10,59605319.81,83845443.53,18393229.46,0,
工程物资,0,16021580.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
固定资产及清理(合计),850432542.14,855142740.68,0,885573174.28,903053566.57,931616661.20,583001742.26,558123102.17,471103745.66,472837367.56,435450824.52,428628905.63,242854512.20,237512391.91,235400360.70,0,0,0,0,0,0,0,0,0,0,
固定资产净额,0,855142740.68,0,885573174.28,903053566.57,931616661.20,583001742.26,558123102.17,471103745.66,472837367.56,435450824.52,428628905.63,242854512.20,237512391.91,235400360.70,240322585.44,244640720.88,193749393.28,192360152.15,194368397.77,195503411.81,205947401.43,178355126.55,203084905.33,0,
固定资产清理,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
生产性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
公益性生物资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
油气资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
使用权资产,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
无形资产,228065442.49,234462892.38,0,189911464.04,200848393.43,212432691.18,231503927.36,225413685.14,175859888.43,179395034.61,182930180.79,185220391.97,188706419.30,192177874.28,195292939.80,198746867.43,202200795.06,205654722.69,209108650.32,211837355.13,152825686.83,161116278.57,172170400.89,167669248.89,0,
开发支出,92042632.58,86049600.86,0,116534348.82,105951802.83,103251049.84,89405751.29,82565151.12,44527757.50,42281035.74,39997048.00,38480419.49,37989133.57,36806635.10,35393255.14,33136078.17,29492764.41,26756079.64,23928481.59,21810392.30,0,24424803.37,14464816.24,5022134.91,0,
商誉,639582.53,639582.53,0,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,639582.53,0,0,0,0,0,
长期待摊费用,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1246825.40,0,0,0,0,
