,20141231,20151231,20161231,20171231,20181231,20191231
销售商品、提供劳务收到的现金,4657746552.00,5053523329.00,6104586817.00,8538517363.00,8636267403.00,7306689684.00
收到的税费返还,0,0,0,0,0,174227827.00
收到的其他与经营活动有关的现金,25017998.00,44004016.00,285383651.00,126871017.00,49454215.00,284726283.00
经营活动现金流入小计,4682764550.00,5097527345.00,6389970468.00,8665388380.00,8685721618.00,7765643794.00
购买商品、接受劳务支付的现金,3845813325.00,3726752560.00,4087133919.00,5432119618.00,6369117775.00,5411153992.00
支付给职工以及为职工支付的现金,361183001.00,468615750.00,549796528.00,815870476.00,889905499.00,906462316.00
支付的各项税费,176131033.00,215365577.00,270760527.00,417547554.00,464659493.00,320561323.00
支付的其他与经营活动有关的现金,73264473.00,133518116.00,175060659.00,261980791.00,396687906.00,284802270.00
经营活动现金流出小计,4456391832.00,4544252003.00,5082751633.00,6927518439.00,8120370673.00,6922979901.00
经营活动产生的现金流量净额,226372718.00,553275342.00,1307218835.00,1737869941.00,565350945.00,842663893.00
收回投资所收到的现金,0,0,19497278.00,0,670868205.00,693202241.00
取得投资收益所收到的现金,37395037.00,44159393.00,55681325.00,79266562.00,90436223.00,97884520.00
处置固定资产、无形资产和其他长期资产所收回的现金净额,0,24855.00,7254048.00,1381888.00,16534005.00,17562769.00
处置子公司及其他营业单位收到的现金净额,0,14217289.00,0,0,0,0
收到的其他与投资活动有关的现金,0,0,0,0,0,0
投资活动现金流入小计,428755037.00,165091537.00,347532651.00,672883941.00,777838433.00,808649530.00
购建固定资产、无形资产和其他长期资产所支付的现金,348259949.00,342322471.00,852552354.00,618899620.00,1359340005.00,751661050.00
投资所支付的现金,0,12323000.00,244075860.00,63648000.00,923006206.00,724061278.00
取得子公司及其他营业单位支付的现金净额,0,0,0,0,18043545.00,0
支付的其他与投资活动有关的现金,0,0,0,0,7544924.00,0
投资活动现金流出小计,745459949.00,675381053.00,1448569985.00,1053847620.00,2307934680.00,1475722328.00
投资活动产生的现金流量净额,-316704912.00,-510289516.00,-1101037334.00,-380963679.00,-1530096247.00,-667072798.00
吸收投资收到的现金,992408758.00,305471977.00,93251289.00,26639536.00,1905310399.00,0
其中：子公司吸收少数股东投资收到的现金,100000000.00,54183210.00,93251289.00,26639536.00,10973225.00,0
取得借款收到的现金,3161823178.00,4728089068.00,3498707730.00,1164360000.00,1517095319.00,1315595896.00
发行债券收到的现金,0,0,0,0,0,0
收到其他与筹资活动有关的现金,0,0,0,0,0,0
筹资活动现金流入小计,4154231936.00,5033561045.00,3591959019.00,1190999536.00,3422405718.00,1315595896.00
偿还债务支付的现金,2276281271.00,4861632076.00,4274946917.00,1938789363.00,1147362652.00,1707827633.00
分配股利、利润或偿付利息所支付的现金,655646125.00,188323234.00,174829763.00,232792783.00,434827804.00,257627715.00
其中：子公司支付给少数股东的股利、利润,0,0,0,0,1157047.00,0
支付其他与筹资活动有关的现金,26194769.00,16784154.00,0,0,56685566.00,71068592.00
筹资活动现金流出小计,2958122165.00,5066739464.00,4449776680.00,2171582146.00,1638876022.00,2036523940.00
筹资活动产生的现金流量净额,1196109771.00,-33178419.00,-857817661.00,-980582610.00,1783529696.00,-720928044.00
四、汇率变动对现金及现金等价物的影响,-1202119.00,26364010.00,32086493.00,-4385119.00,9678488.00,5826828.00
五、现金及现金等价物净增加额,1104575458.00,36171417.00,-619549667.00,371938533.00,828462882.00,-539510121.00
加:期初现金及现金等价物余额,906377818.00,2010953276.00,2047124693.00,1427575026.00,1799513559.00,2627976441.00
六、期末现金及现金等价物余额,2010953276.00,2047124693.00,1427575026.00,1799513559.00,2627976441.00,2088466320.00
净利润,0,550481674.00,693700171.00,1234579084.00,1488030884.00,784284972.00
少数股东权益,0,0,0,0,0,0
未确认的投资损失,0,0,0,0,0,0
资产减值准备,0,35046520.00,13274078.00,117329577.00,86905640.00,66732488.00
固定资产折旧、油气资产折耗、生产性物资折旧,0,116030914.00,132527681.00,173255563.00,201117654.00,274494224.00
无形资产摊销,0,8453135.00,27071804.00,30059566.00,16428909.00,12488274.00
长期待摊费用摊销,0,0,0,0,0,0
待摊费用的减少,0,0,0,0,0,0
预提费用的增加,0,0,0,0,0,0
处置固定资产、无形资产和其他长期资产的损失,0,2189463.00,2080737.00,2729458.00,2741721.00,-7367173.00
固定资产报废损失,0,0,0,0,0,0
公允价值变动损失,0,594911.00,99303.00,-240422.00,-257993.00,-238970.00
递延收益增加（减：减少）,0,0,0,0,0,0
预计负债,0,0,0,0,0,0
财务费用,0,114756135.00,77547550.00,47988952.00,17390938.00,2715322.00
投资损失,0,-82858885.00,-110268034.00,-161089680.00,-151058214.00,-121786023.00
递延所得税资产减少,0,5913898.00,-44226452.00,5369428.00,-23833861.00,-11334623.00
递延所得税负债增加,0,0,0,0,0,0
存货的减少,0,8392596.00,18621929.00,-102265503.00,-288560484.00,-767462892.00
经营性应收项目的减少,0,-382188609.00,-11689547.00,-388834618.00,-1197516656.00,-246380303.00
经营性应付项目的增加,0,206437567.00,508479615.00,778988536.00,413962407.00,856518597.00
已完工尚未结算款的减少(减:增加),0,0,0,0,0,0
已结算尚未完工款的增加(减:减少),0,0,0,0,0,0
其他,0,0,0,0,0,0
经营活动产生现金流量净额,0,553275342.00,1307218835.00,1737869941.00,565350945.00,842663893.00
债务转为资本,0,0,0,0,0,0
一年内到期的可转换公司债券,0,0,0,0,0,0
融资租入固定资产,0,0,0,0,0,0
现金的期末余额,0,2047124693.00,1422575026.00,1799513559.00,2627976441.00,2088466320.00
现金的期初余额,0,2010953276.00,2047124693.00,1422575026.00,1799513559.00,2627976441.00
现金等价物的期末余额,0,0,5000000.00,0,0,0
现金等价物的期初余额,0,0,0,5000000.00,0,0
现金及现金等价物的净增加额,0,36171417.00,-619549667.00,371938533.00,828462882.00,-539510121.00
