,20141231,20151231,20161231,20171231,20181231,20191231
一、营业总收入,5684102670.00,6737836235.00,8111495124.00,10366083659.00,11359764086.00,7769175495.00
营业收入,5684102670.00,6737836235.00,8111495124.00,10366083659.00,11359764086.00,7769175495.00
二、营业总成本,5182132595.00,6275879449.00,7453655580.00,9109038042.00,9869127227.00,7157976904.00
营业成本,4578042719.00,5426903739.00,6428917515.00,7576882915.00,8131340393.00,5935648889.00
营业税金及附加,16436514.00,30211480.00,37590996.00,63717191.00,61749553.00,26708981.00
销售费用,121152747.00,162993926.00,199431553.00,304884581.00,385304803.00,347325663.00
管理费用,405271983.00,494895058.00,662230345.00,968067388.00,646920902.00,428531381.00
财务费用,49702635.00,125828726.00,112211093.00,78156390.00,40148836.00,6223776.00
研发费用,0,0,0,0,516757100.00,413538214.00
资产减值损失,11525997.00,35046520.00,13274078.00,117329577.00,38615213.00,0
公允价值变动收益,0,-594911.00,-99303.00,240422.00,257993.00,238970.00
投资收益,34347819.00,86387518.00,113415382.00,161089680.00,151058214.00,121786023.00
其中:对联营企业和合营企业的投资收益,28192919.00,79958262.00,105040139.00,159121150.00,152089231.00,109848127.00
汇兑收益,0,0,0,0,0,0
三、营业利润,536317894.00,545559930.00,769074886.00,1446701452.00,1667069384.00,877794594.00
加:营业外收入,24398249.00,77776401.00,26440810.00,1703021.00,3514740.00,6520253.00
减：营业外支出,4257073.00,306250.00,2222865.00,1530284.00,1059066.00,805799.00
其中：非流动资产处置损失,3421507.00,0,0,0,0,0
四、利润总额,556459070.00,623030081.00,793292831.00,1446874189.00,1669525058.00,883509048.00
减：所得税费用,70700872.00,72548407.00,99592660.00,212295105.00,181494174.00,99224076.00
五、净利润,485758198.00,550481674.00,693700171.00,1234579084.00,1488030884.00,784284972.00
归属于母公司所有者的净利润,488065272.00,563261053.00,717093240.00,1268353170.00,1489185053.00,801225042.00
少数股东损益,-2307074.00,-12779379.00,-23393069.00,-33774086.00,-1154169.00,-16940070.00
基本每股收益(元/股),1.000000,0.880000,1.050000,1.860000,2.090000,1.060000
稀释每股收益(元/股),1.000000,0.880000,1.050000,1.860000,2.090000,1.060000
七、其他综合收益,19250600.00,45970000.00,21952426.00,-24999304.00,-43519578.00,13112671.00
八、综合收益总额,505008798.00,596451674.00,715652597.00,1209579780.00,1444511306.00,797397643.00
归属于母公司所有者的综合收益总额,507315872.00,608461709.00,734988604.00,1246375247.00,1451059160.00,812824682.00
归属于少数股东的综合收益总额,-2307074.00,-12010035.00,-19336007.00,-36795467.00,-6547854.00,-15427039.00
